11 - Legal minimum age at marriage  by sex

Indicator Name,Region,Country Code,Country,Sex,Measure Name,Measure Value,Actual Data,Footnote1,Footnote2
Legal minimum age at marriage  by sex,Sub-Saharan Africa,108,Burundi,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,108,Burundi,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,Exceptions may be made in case of force majeure
Legal minimum age at marriage  by sex,Sub-Saharan Africa,108,Burundi,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,108,Burundi,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<21,0,Exceptions may be made in case of force majeure
Legal minimum age at marriage  by sex,Sub-Saharan Africa,120,Cameroon,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,15,0,The consent of a minor future husband or wife shall not be valid unless supported by that of the father and mother. This consent must be free and without defect.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,120,Cameroon,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,120,Cameroon,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,120,Cameroon,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,132,Cabo Verde,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,132,Cabo Verde,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,Requires authorization of civil court.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,132,Cabo Verde,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,132,Cabo Verde,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,Requires authorization of civil court.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,140,Central African Republic,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,140,Central African Republic,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,140,Central African Republic,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,22,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,140,Central African Republic,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,148,Chad,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,148,Chad,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,148,Chad,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,148,Chad,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,174,Comoros,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,174,Comoros,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,174,Comoros,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,22,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,174,Comoros,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,178,Congo,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,178,Congo,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,The State Procurator may  in a serious case  grant a dispensation of the minimum legal age.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,178,Congo,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,178,Congo,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<21,0,The State Procurator may  in a serious case  grant a dispensation of the minimum legal age.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,180,Democratic Republic of the Congo,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,180,Democratic Republic of the Congo,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,180,Democratic Republic of the Congo,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,180,Democratic Republic of the Congo,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,204,Benin,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,204,Benin,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,Minimum legal ages at marriage may vary across states/provinces  ethnic groups  religious groups or forms of marriage.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,204,Benin,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,204,Benin,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,Minimum legal ages at marriage may vary across states/provinces  ethnic groups  religious groups or forms of marriage.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,226,Equatorial Guinea,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,12,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,226,Equatorial Guinea,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,226,Equatorial Guinea,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,12,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,226,Equatorial Guinea,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,231,Ethiopia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,231,Ethiopia,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,231,Ethiopia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,231,Ethiopia,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,232,Eritrea,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,In case the woman is pregnant or has already given birth to a child at the age of 16  dispensation might be granted from the rule concerning age.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,232,Eritrea,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,232,Eritrea,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,232,Eritrea,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,262,Djibouti,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,262,Djibouti,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,The marriage of minors under the age of legal majority is subject to the consent of their guardians. If the guardian refuses consent and the future couple remain insistent  the marriage may be authorized by a judge.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,262,Djibouti,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,262,Djibouti,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,The marriage of minors under the age of legal majority is subject to the consent of their guardians. If the guardian refuses consent and the future couple remain insistent  the marriage may be authorized by a judge.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,266,Gabon,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,266,Gabon,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,266,Gabon,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,266,Gabon,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,270,Gambia,Female,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,No minimum legal age for marriage. The constitution states that men and women of "full age and capacity" shall have the right to marry and find a family.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,270,Gambia,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,270,Gambia,Male,Minimum age for legal marriage - Without parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,270,Gambia,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,288,Ghana,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,288,Ghana,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,288,Ghana,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,288,Ghana,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,324,Guinea,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,17,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,324,Guinea,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,324,Guinea,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,324,Guinea,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,384,Côte d'Ivoire,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,384,Côte d'Ivoire,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,384,Côte d'Ivoire,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,20,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,384,Côte d'Ivoire,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,404,Kenya,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,404,Kenya,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,404,Kenya,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,404,Kenya,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,0,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,426,Lesotho,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,426,Lesotho,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,Requires the written consent of the Minister responsible
Legal minimum age at marriage  by sex,Sub-Saharan Africa,426,Lesotho,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,426,Lesotho,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,Requires the written consent of the Minister responsible
Legal minimum age at marriage  by sex,Sub-Saharan Africa,430,Liberia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,430,Liberia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,430,Liberia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,430,Liberia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,450,Madagascar,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,450,Madagascar,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,450,Madagascar,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,450,Madagascar,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,454,Malawi,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,454,Malawi,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,454,Malawi,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,454,Malawi,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,466,Mali,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,466,Mali,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,466,Mali,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,466,Mali,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,478,Mauritania,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,478,Mauritania,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,478,Mauritania,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,478,Mauritania,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,480,Mauritius,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,480,Mauritius,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,480,Mauritius,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,480,Mauritius,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,508,Mozambique,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,508,Mozambique,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,508,Mozambique,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,508,Mozambique,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,516,Namibia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,516,Namibia,Female,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,516,Namibia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,516,Namibia,Male,Minimum age for legal marriage - With parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,562,Niger,Female,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,15,0,Requires parental consent for minors.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,562,Niger,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,562,Niger,Male,Minimum age for legal marriage - Without parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,562,Niger,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,566,Nigeria,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,Minimum legal ages at marriage may vary across states/provinces  ethnic groups  religious groups or forms of marriage.
Legal minimum age at marriage  by sex,Sub-Saharan Africa,566,Nigeria,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,566,Nigeria,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,566,Nigeria,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,624,Guinea-Bissau,Female,Minimum age for legal marriage - Without parental consent,Both less than 18 years,17,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,624,Guinea-Bissau,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,624,Guinea-Bissau,Male,Minimum age for legal marriage - Without parental consent,Both less than 18 years,17,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,624,Guinea-Bissau,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,646,Rwanda,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,646,Rwanda,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,646,Rwanda,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,646,Rwanda,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,678,Sao Tome and Principe,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,678,Sao Tome and Principe,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,14,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,678,Sao Tome and Principe,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,678,Sao Tome and Principe,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,686,Senegal,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,686,Senegal,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,686,Senegal,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,686,Senegal,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,<18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,690,Seychelles,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,690,Seychelles,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,690,Seychelles,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,690,Seychelles,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,694,Sierra Leone,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,694,Sierra Leone,Female,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,694,Sierra Leone,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,694,Sierra Leone,Male,Minimum age for legal marriage - With parental consent,No fixed data,0,The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,706,Somalia,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,706,Somalia,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,706,Somalia,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,706,Somalia,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,0,0,Data not available
Legal minimum age at marriage  by sex,Sub-Saharan Africa,710,South Africa,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,710,South Africa,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,15,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,710,South Africa,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,710,South Africa,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,716,Zimbabwe,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,716,Zimbabwe,Female,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,716,Zimbabwe,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,18,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,716,Zimbabwe,Male,Minimum age for legal marriage - With parental consent,Both less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,748,Swaziland,Female,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,748,Swaziland,Female,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,16,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,748,Swaziland,Male,Minimum age for legal marriage - Without parental consent,Both at least 18 years,21,0,0
Legal minimum age at marriage  by sex,Sub-Saharan Africa,748,Swaziland,Male,Minimum age for legal marriage - With parental consent,Men at least 18 years Women less than 18 years,18,0,0
